wave,metric_name
2,usage_activity_by_stage_monthly.manage.events
2,usage_activity_by_stage_monthly.create.action_monthly_active_users_project_repo
2,usage_activity_by_stage_monthly.create.merge_requests_users
2,usage_activity_by_stage_monthly.create.projects_with_repositories_enabled
2,counts.commit_comment
2,counts.source_code_pushes
2,usage_activity_by_stage_monthly.verify.ci_pipelines
2,usage_activity_by_stage_monthly.verify.ci_internal_pipelines
2,usage_activity_by_stage_monthly.verify.ci_builds
2,counts.ci_runners
2,counts.auto_devops_enabled
2,gitlab_shared_runners_enabled
2,container_registry_enabled
2,counts.template_repositories
2,usage_activity_by_stage_monthly.verify.ci_pipeline_config_repository
2,user_unique_users_all_secure_scanners
2,user_container_scanning_jobs
2,usage_activity_by_stage_monthly.secure.user_sast_jobs
2,usage_activity_by_stage_monthly.secure.user_dast_jobs
2,usage_activity_by_stage_monthly.secure.user_dependency_scanning_jobs
2,usage_activity_by_stage_monthly.secure.user_license_management_jobs
2,usage_activity_by_stage_monthly.secure.user_secret_detection_jobs
2,usage_activity_by_stage_monthly.secure.user_container_scanning_jobs
3.0,object_store.packages.enabled
3.0,counts.projects_with_packages
3.0,usage_activity_by_stage_monthly.release.deployments
3.0,usage_activity_by_stage_monthly.release.releases
3.0,usage_activity_by_stage_monthly.plan.epics
3.0,usage_activity_by_stage_monthly.plan.issues
3.1,counts.ci_internal_pipelines
3.1,counts.ci_external_pipelines
3.1,counts.merge_requests
3.1,counts.todos
3.1,counts.ci_builds
3.1,counts.epics
3.1,counts.issues
3.1,counts.projects
3.1,counts_monthly.deployments
3.1,counts_monthly.packages
3.1,counts.sast_jobs
3.1,counts.dast_jobs
3.1,counts.dependency_scanning_jobs
3.1,counts.license_management_jobs
3.1,counts.secret_detection_jobs
3.1,counts.container_scanning_jobs
3.1,counts.projects_jenkins_active
3.1,counts.projects_bamboo_active
3.1,counts.projects_jira_active
3.1,counts.projects_drone_ci_active
3.1,issue_imports.jira
3.1,counts.projects_github_active
3.1,counts.projects_jira_server_active
3.1,counts.projects_jira_dvcs_cloud_active
3.1,counts.projects_with_repositories_enabled
3.1,counts.protected_branches
3.1,counts.remote_mirrors
3.1,usage_activity_by_stage.create.projects_enforcing_code_owner_approval
3.1,analytics_total_unique_counts_monthly
3.1,redis_hll_counters.issues_edit.issues_edit_total_unique_counts_monthly
3.1,redis_hll_counters.user_packages.user_packages_total_unique_counts_monthly
3.1,redis_hll_counters.terraform.p_terraform_state_api_unique_users_monthly
3.1,redis_hll_counters.incident_management.incident_management_total_unique_counts_monthly
3.1,usage_activity_by_stage_monthly.configure.project_clusters_enabled
