event_name,stage_name,group_name,section_name,is_gmau
issue_creation,plan,project_management,dev,TRUE
issue_note_creation,plan,project_management,dev,TRUE
push_action,create,gitaly,dev,TRUE
epic_creation,plan,portfolio_management,dev,TRUE
merge_request_creation,create,code_review,dev,TRUE
requirement_creation,plan,certify,dev,TRUE
merge_request_note_creation,create,code_review,dev,TRUE
ci_pipeline_creation,verify,continuous_integration,ops,TRUE
release_creation,release,release_management,ops,TRUE
dast_build_run,secure,dynamic_analysis,secure_protect,TRUE
sast_build_run,secure,static_analysis,secure_protect,TRUE
secret_detection_build_run,secure,static_analysis,secure_protect,TRUE
dependency_scanning_build_run,secure,composition_analysis,secure_protect,TRUE
license_scanning_build_run,secure,composition_analysis,secure_protect,TRUE
license_management_build_run,secure,composition_analysis,secure_protect,TRUE
container_scanning,protect,container_security,secure_protect,TRUE
package_creation,package,package,ops,TRUE
